objective,subset,complete,boxes,dom_excl,cert,recovered,unresolved,max_depth,peak_q,secs,seam_localization
1,"(1, 2, 3, 4, 8)",True,6853,0,1,Rao-recovered,0,26,17,24.6,{}
1,"(1, 2, 4, 5, 10)",True,11943,0,1,Rao-recovered,0,51,42,81.8,{}
1,"(1, 2, 3, 10, 15)",True,10913,0,1,Rao-recovered,0,26,18,39.0,{}
2,"(1, 2, 11, 12, 17)",True,2831,0,0,,0,15,15,8.5,{}
2,"(1, 2, 6, 10, 19)",True,5767,0,1,,0,26,17,22.1,{}
2,"(1, 2, 3, 4, 6)",True,2953,0,0,,0,15,12,9.1,{}
2,"(1, 2, 8, 9, 16)",False,5786,0,0,,306,200,125,120.0,{'other(not-a-known-seam)': 306}
3,"(1, 2, 3, 4, 13)",True,7397,0,0,,0,20,14,22.4,{}
3,"(1, 2, 6, 14, 19)",True,3821,0,1,Rao-recovered,0,26,18,14.2,{}
3,"(1, 2, 3, 4, 14)",True,13719,0,0,,0,24,17,46.4,{}
3,"(1, 2, 13, 14, 15)",True,6045,0,0,,0,17,13,18.0,{}
